0,0.1,0.1
1000,0.52,0.45
2000,0.66,0.47
3000,0.42,0.48
4000,0.68,0.47
5000,0.66,0.47
6000,0.68,0.46
7000,0.62,0.47
8000,0.62,0.47
9000,0.48,0.46
10000,0.68,0.47
11000,0.76,0.47
12000,0.74,0.45
13000,0.72,0.44
14000,0.76,0.45
15000,0.8,0.45
16000,0.64,0.45
17000,0.64,0.45
18000,0.78,0.45
19000,0.7,0.45
20000,0.64,0.45
21000,0.76,0.45
22000,0.74,0.45
23000,0.78,0.45
24000,0.6,0.46
25000,0.7,0.46
26000,0.78,0.47
27000,0.72,0.47
28000,0.76,0.47
29000,0.64,0.47
30000,0.74,0.47
31000,0.8,0.47
32000,0.64,0.46
33000,0.72,0.46
34000,0.76,0.46
35000,0.72,0.46
36000,0.8,0.46
37000,0.74,0.46
38000,0.76,0.46
39000,0.7,0.46
40000,0.76,0.46
41000,0.7,0.46
42000,0.76,0.46
43000,0.8,0.47
44000,0.78,0.47
45000,0.66,0.47
46000,0.86,0.47
47000,0.72,0.48
48000,0.78,0.48
49000,0.74,0.48
50000,0.8,0.49
51000,0.76,0.49
52000,0.7,0.48
53000,0.58,0.48
54000,0.72,0.48
55000,0.86,0.47
56000,0.86,0.48
57000,0.68,0.48
58000,0.72,0.48
59000,0.74,0.48
60000,0.76,0.48
61000,0.78,0.48
62000,0.78,0.48
63000,0.78,0.48
64000,0.7,0.48
65000,0.78,0.48
66000,0.8,0.48
67000,0.68,0.48
68000,0.76,0.48
69000,0.66,0.48
70000,0.78,0.5
71000,0.76,0.5
72000,0.72,0.49
73000,0.66,0.49
74000,0.74,0.49
75000,0.8,0.49
76000,0.8,0.49
77000,0.72,0.49
78000,0.82,0.49
79000,0.84,0.49
80000,0.68,0.49
81000,0.86,0.49
82000,0.8,0.49
83000,0.72,0.49
84000,0.74,0.49
85000,0.82,0.49
86000,0.8,0.49
87000,0.74,0.49
88000,0.82,0.49
89000,0.7,0.5
90000,0.8,0.49
91000,0.82,0.49
92000,0.78,0.49
93000,0.84,0.49
94000,0.72,0.49
95000,0.66,0.49
96000,0.82,0.49
97000,0.78,0.49
98000,0.78,0.5
99000,0.78,0.49
100000,0.8,0.49
101000,0.8,0.47
102000,0.84,0.48
103000,0.84,0.5
104000,0.86,0.5
105000,0.9,0.5
106000,0.9,0.49
107000,0.78,0.5
108000,0.76,0.5
109000,0.86,0.5
110000,0.82,0.5
111000,0.94,0.5
112000,0.76,0.5
113000,0.68,0.5
114000,0.76,0.5
115000,0.8,0.5
116000,0.84,0.5
117000,0.8,0.51
118000,0.86,0.52
119000,0.76,0.52
120000,0.84,0.52
121000,0.88,0.52
122000,0.84,0.52
123000,0.9,0.52
124000,0.7,0.52
125000,0.86,0.52
126000,0.86,0.52
127000,0.8,0.52
128000,0.86,0.51
129000,0.88,0.51
130000,0.82,0.51
131000,0.76,0.51
132000,0.76,0.51
133000,0.8,0.51
134000,0.86,0.51
135000,0.76,0.51
136000,0.78,0.52
137000,0.84,0.52
138000,0.84,0.51
139000,0.86,0.53
140000,0.84,0.53
141000,0.76,0.53
142000,0.84,0.53
143000,0.86,0.53
144000,0.9,0.53
145000,0.9,0.53
146000,0.86,0.53
147000,0.78,0.52
148000,0.78,0.52
149000,0.92,0.52
150000,0.8,0.52
151000,0.9,0.52
152000,0.86,0.52
153000,0.9,0.52
154000,0.8,0.53
155000,0.76,0.52
156000,0.8,0.52
157000,0.8,0.52
158000,0.78,0.52
159000,0.86,0.51
160000,0.9,0.5
161000,0.88,0.5
162000,0.9,0.5
163000,0.74,0.5
164000,0.92,0.5
165000,0.88,0.5
166000,0.94,0.5
167000,0.86,0.5
168000,0.9,0.49
169000,0.86,0.5
170000,0.86,0.5
171000,0.9,0.5
172000,0.84,0.5
173000,0.88,0.5
174000,0.94,0.5
175000,0.92,0.5
176000,0.94,0.5
177000,0.8,0.5
178000,0.86,0.5
179000,0.82,0.5
180000,0.8,0.5
181000,0.8,0.5
182000,0.84,0.5
183000,0.88,0.5
184000,0.92,0.5
185000,0.72,0.5
186000,0.9,0.5
187000,0.86,0.5
188000,0.88,0.5
189000,0.9,0.5
190000,0.92,0.5
191000,0.84,0.5
192000,0.84,0.5
193000,0.84,0.5
