time,populationID,neuronID,valueType,value
0.0001,999,0,3,0.501414
0.0001,94080395678256,0,3,0
0.0001,94080395681904,0,3,0
0.0002,999,0,3,0.502827
0.0002,94080395678256,0,3,0
0.0002,94080395681904,0,3,0
0.0003,999,0,3,0.504241
0.0003,94080395678256,0,3,0
0.0003,94080395681904,0,3,0
0.0004,999,0,3,0.505654
0.0004,94080395678256,0,3,0
0.0004,94080395681904,0,3,0
0.0005,999,0,3,0.507068
0.0005,94080395678256,0,3,0
0.0005,94080395681904,0,3,0
0.0006,999,0,3,0.508481
0.0006,94080395678256,0,3,0
0.0006,94080395681904,0,3,0
0.0007,999,0,3,0.509894
0.0007,94080395678256,0,3,0
0.0007,94080395681904,0,3,0
0.0008,999,0,3,0.511306
0.0008,94080395678256,0,3,0
0.0008,94080395681904,0,3,0
0.0009,999,0,3,0.512718
0.0009,94080395678256,0,3,0
0.0009,94080395681904,0,3,0
0.001,999,0,3,0.51413
0.001,94080395678256,0,3,0
0.001,94080395681904,0,3,0
0.0011,999,0,3,0.515542
0.0011,94080395678256,0,3,0
0.0011,94080395681904,0,3,0
0.0012,999,0,3,0.516953
0.0012,94080395678256,0,3,0
0.0012,94080395681904,0,3,0
0.0013,999,0,3,0.518363
0.0013,94080395678256,0,3,0
0.0013,94080395681904,0,3,0
0.0014,999,0,3,0.519773
0.0014,94080395678256,0,3,0
0.0014,94080395681904,0,3,0
0.0015,999,0,3,0.521182
0.0015,94080395678256,0,3,0
0.0015,94080395681904,0,3,0
0.0016,999,0,3,0.522591
0.0016,94080395678256,0,3,0
0.0016,94080395681904,0,3,0
0.0017,999,0,3,0.523999
0.0017,94080395678256,0,3,0
0.0017,94080395681904,0,3,0
0.0018,999,0,3,0.525406
0.0018,94080395678256,0,3,0
0.0018,94080395681904,0,3,0
0.0019,999,0,3,0.526813
0.0019,94080395678256,0,3,0
0.0019,94080395681904,0,3,0.00796
0.002,999,0,3,0.528219
0.002,94080395678256,0,3,0.000796
0.002,94080395681904,0,3,0.0181601
0.0021,999,0,3,0.529623
0.0021,94080395678256,0,3,0.00181601
0.0021,94080395681904,0,3,0.0348614
0.0022,999,0,3,0.531028
0.0022,94080395678256,0,3,0.00348613
0.0022,94080395681904,0,3,0.0616885
0.0023,999,0,3,0.532431
0.0023,94080395678256,0,3,0.00616877
0.0023,94080395681904,0,3,0.101275
0.0024,999,0,3,0.533833
0.0024,94080395678256,0,3,0.0101271
0.0024,94080395681904,0,3,0.147045
0.0025,999,0,3,0.535234
0.0025,94080395678256,0,3,0.0147034
0.0025,94080395681904,0,3,0.204718
0.0026,999,0,3,0.536634
0.0026,94080395678256,0,3,0.020469
0.0026,94080395681904,0,3,0.27661
0.0027,999,0,3,0.538033
0.0027,94080395678256,0,3,0.0276539
0.0027,94080395681904,0,3,0.342782
0.0028,999,0,3,0.539431
0.0028,94080395678256,0,3,0.0342648
0.0028,94080395681904,0,3,0.406956
